,name,allsides_page,bias,agree,disagree
0,ABC News (Online),https://www.allsides.com/news-source/abc-news-media-bias,left-center,41977,20742
1,AlterNet,https://www.allsides.com/news-source/alternet-media-bias,left,16004,3725
2,Associated Press,https://www.allsides.com/news-source/associated-press-media-bias,left-center,35031,27781
3,Associated Press Fact Check,https://www.allsides.com/news-source/ap-fact-check-media-bias,left-center,6912,8139
4,Axios,https://www.allsides.com/news-source/axios,left-center,8282,9270
5,BBC News,https://www.allsides.com/news-source/bbc-news-media-bias,center,34354,29805
6,Bloomberg,https://www.allsides.com/news-source/bloomberg-media-bias,left-center,18079,23209
7,Breitbart News,https://www.allsides.com/news-source/breitbart,right,44026,12059
8,BuzzFeed News,https://www.allsides.com/news-source/buzzfeed-media-bias,left,28530,9913
9,CBS News (Online),https://www.allsides.com/news-source/cbs-news-media-bias,left-center,21343,13784
10,Christian Science Monitor,https://www.allsides.com/news-source/christian-science-monitor,center,17274,21161
11,CNN (Online News),https://www.allsides.com/news-source/cnn-media-bias,left-center,63172,53867
12,CNN (Opinion),https://www.allsides.com/news-source/cnn-editorial,left,38577,8777
13,Daily Beast,https://www.allsides.com/news-source/daily-beast-media-bias,left,22546,6855
14,Daily Mail,https://www.allsides.com/news-source/daily-mail,right,14599,7792
15,Democracy Now!,https://www.allsides.com/news-source/democracy-now,left,15244,3601
16,Forbes,https://www.allsides.com/news-source/forbes,center,16083,10878
17,Fox News (Online News),https://www.allsides.com/news-source/fox-news-media-bias,right,55017,54271
18,Fox News (Opinion),https://www.allsides.com/news-source/fox-news-editorial-media-bias,right,34608,7939
19,HuffPost,https://www.allsides.com/news-source/huffpost-media-bias,left,38652,22937
20,Insider,https://www.allsides.com/news-source/insider-media-bias,left-center,5359,7578
21,Mother Jones,https://www.allsides.com/news-source/mother-jones-bias,left,17406,2727
22,MSNBC,https://www.allsides.com/news-source/msnbc,left,25417,6525
23,National Review,https://www.allsides.com/news-source/national-review,right,23009,9688
24,NBC News (Online),https://www.allsides.com/news-source/nbc-news-media-bias,left-center,15562,14641
25,New York Post (News),https://www.allsides.com/news-source/new-york-post,right-center,18712,9931
26,New York Times (News),https://www.allsides.com/news-source/new-york-times,left-center,34508,44524
27,New York Times (Opinion),https://www.allsides.com/news-source/new-york-times-opinion-media-bias,left,19622,5796
28,NewsNation,https://www.allsides.com/news-source/newsnation-media-bias,center,1214,1241
29,Newsweek,https://www.allsides.com/news-source/newsweek,center,5643,10352
30,NPR (Online News),https://www.allsides.com/news-source/npr-media-bias,left-center,34917,34963
31,NPR (Opinion),https://www.allsides.com/news-source/npr-editorial,left-center,10151,12219
32,Politico,https://www.allsides.com/news-source/politico-media-bias,left-center,25883,33080
